里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市信義區永春里,,2,,12,9,23,73.91%,26.09%,13%,74%,13%,,50%,,91%,42%,0%,0%
臺北市信義區四育里,,,1,10,12,23,86.96%,13.04%,13%,83%,4%,,,0%,82%,64%,0%,0%
臺北市松山區東榮里,1,1,5,9,7,23,69.57%,21.74%,4%,83%,13%,0.00%,0%,94%,76%,27%,0%,0%
臺北市文山區樟腳里,3,2,4,9,5,23,73.91%,26.09%,13%,74%,13%,87.00%,50%,89%,76%,14%,34%,0%
臺北市內湖區碧山里,1,2,1,7,12,23,69.57%,30.43%,0%,87%,13%,0.00%,50%,0%,59%,64%,0%,1%
臺北市中山區金泰里,1,2,2,3,15,23,73.91%,26.09%,22%,70%,9%,0.00%,50%,43%,16%,81%,0%,0%
臺北市大安區建安里,,,1,8,14,23,82.61%,17.39%,9%,83%,9%,,,0%,70%,76%,0%,0%
臺北市大同區大有里,3,1,3,7,9,23,73.91%,26.09%,4%,78%,17%,87.00%,0%,73%,59%,42%,0%,0%
臺北市士林區葫東里,2,1,3,6,11,23,65.22%,34.78%,17%,70%,13%,70.00%,0%,73%,50%,55%,86%,63%
臺北市士林區天母里,,1,3,7,12,23,78.26%,21.74%,22%,74%,4%,,0%,73%,59%,64%,0%,0%
臺北市萬華區華中里,1,2,2,6,11,22,59.09%,40.91%,18%,59%,23%,0.00%,50%,43%,50%,55%,71%,0%
臺北市萬華區忠貞里,,2,4,4,12,22,59.09%,40.91%,0%,68%,32%,,50%,89%,30%,64%,91%,81%
臺北市南港區聯成里,,1,,10,11,22,77.27%,22.73%,14%,68%,18%,,0%,,82%,55%,34%,0%
臺北市南港區三重里,1,,1,5,15,22,63.64%,36.36%,5%,91%,5%,0.00%,,0%,39%,81%,0%,0%
臺北市信義區雅祥里,1,,2,8,11,22,59.09%,40.91%,0%,86%,14%,0.00%,,43%,70%,55%,0%,1%
臺北市松山區新東里,1,,2,8,11,22,54.55%,45.45%,18%,64%,18%,0.00%,,43%,70%,55%,0%,0%
臺北市松山區富泰里,,3,1,8,10,22,63.64%,27.27%,9%,50%,41%,,79%,0%,70%,49%,0%,1%
臺北市松山區中正里,,1,1,5,15,22,63.64%,31.82%,9%,77%,14%,,0%,0%,39%,81%,0%,0%
臺北市文山區興邦里,,6,1,5,10,22,81.82%,18.18%,18%,73%,9%,,97%,0%,39%,49%,78%,0%
臺北市文山區萬隆里,1,,2,8,11,22,50.00%,45.45%,18%,77%,5%,0.00%,,43%,70%,55%,54%,0%
臺北市中山區中原里,3,1,1,6,11,22,77.27%,18.18%,5%,86%,9%,87.00%,0%,0%,50%,55%,54%,0%
臺北市大安區仁愛里,1,4,,7,10,22,45.45%,50.00%,18%,59%,23%,0.00%,91%,,59%,49%,0%,0%
臺北市大同區蓬萊里,,1,3,7,11,22,72.73%,27.27%,9%,77%,14%,,0%,73%,59%,55%,34%,0%
臺北市大同區國慶里,,1,1,16,4,22,72.73%,27.27%,9%,86%,5%,,0%,0%,98%,8%,54%,0%
臺北市士林區蘭興里,1,,1,11,9,22,90.91%,9.09%,5%,77%,18%,0.00%,,0%,86%,42%,0%,0%
臺北市士林區富光里,,3,4,7,8,22,63.64%,36.36%,5%,77%,18%,,79%,89%,59%,34%,54%,1%
臺北市士林區天山里,1,2,1,7,11,22,81.82%,18.18%,18%,82%,0%,0.00%,50%,0%,59%,55%,0%,0%
臺北市萬華區菜園里,2,,3,4,12,21,95.24%,0.00%,5%,67%,29%,70.00%,,73%,30%,64%,54%,0%
臺北市萬華區青山里,,3,1,3,14,21,66.67%,33.33%,24%,76%,0%,,79%,0%,16%,76%,54%,0%
臺北市萬華區全德里,,,,8,13,21,66.67%,33.33%,14%,76%,10%,,,,70%,70%,0%,0%
臺北市南港區玉成里,,,6,5,10,21,42.86%,57.14%,14%,86%,0%,,,97%,39%,49%,71%,63%
臺北市南港區中南里,1,,1,12,7,21,85.71%,9.52%,10%,86%,5%,0.00%,,0%,91%,27%,0%,0%
臺北市信義區興雅里,1,2,,4,14,21,71.43%,28.57%,10%,81%,10%,0.00%,50%,,30%,76%,0%,0%
臺北市松山區龍田里,,1,1,6,13,21,76.19%,23.81%,19%,62%,19%,,0%,0%,50%,70%,0%,1%
臺北市北投區榮光里,2,2,1,4,12,21,66.67%,33.33%,10%,81%,10%,70.00%,50%,0%,30%,64%,0%,1%
臺北市文山區興昌里,,1,1,6,13,21,52.38%,47.62%,10%,71%,19%,,0%,0%,50%,70%,0%,1%
臺北市文山區樟新里,,,3,7,11,21,71.43%,23.81%,10%,86%,5%,,,73%,59%,55%,54%,1%
臺北市文山區景慶里,,,3,7,11,21,66.67%,28.57%,5%,90%,5%,,,73%,59%,55%,0%,0%
臺北市文山區景行里,,3,2,3,13,21,71.43%,23.81%,0%,86%,14%,,79%,43%,16%,70%,0%,0%
臺北市內湖區紫陽里,,3,,5,13,21,80.95%,19.05%,10%,62%,29%,,79%,,39%,70%,0%,0%
臺北市內湖區金龍里,,,2,4,15,21,71.43%,28.57%,10%,76%,14%,,,43%,30%,81%,78%,63%
臺北市內湖區金瑞里,3,1,1,6,10,21,61.90%,38.10%,19%,81%,0%,87.00%,0%,0%,50%,49%,0%,0%
臺北市內湖區行善里,1,3,2,4,11,21,57.14%,42.86%,29%,71%,0%,0.00%,79%,43%,30%,55%,0%,1%
臺北市內湖區石潭里,1,,2,3,15,21,76.19%,23.81%,14%,62%,24%,0.00%,,43%,16%,81%,0%,0%
臺北市中山區永安里,,1,2,7,11,21,71.43%,28.57%,29%,62%,10%,,0%,43%,59%,55%,78%,0%
臺北市大安區光信里,1,,5,4,11,21,52.38%,38.10%,24%,67%,10%,0.00%,,94%,30%,55%,78%,81%
臺北市大同區建明里,,3,,10,8,21,66.67%,33.33%,5%,90%,5%,,79%,,82%,34%,0%,0%
臺北市大同區民權里,3,1,2,3,12,21,61.90%,38.10%,0%,67%,33%,87.00%,0%,43%,16%,64%,54%,0%
臺北市萬華區忠德里,,,3,7,10,20,80.00%,20.00%,5%,75%,20%,,,73%,59%,49%,97%,81%
臺北市萬華區孝德里,1,1,,7,11,20,80.00%,20.00%,5%,90%,5%,0.00%,0%,,59%,55%,54%,0%
臺北市南港區南港里,1,3,1,4,11,20,70.00%,30.00%,0%,75%,25%,0.00%,79%,0%,30%,55%,34%,0%
臺北市南港區東明里,1,,,13,6,20,60.00%,40.00%,20%,70%,10%,0.00%,,,94%,20%,0%,1%
臺北市信義區景新里,,,1,8,11,20,65.00%,35.00%,10%,80%,10%,,,0%,70%,55%,0%,0%
臺北市信義區敦厚里,1,1,1,3,14,20,65.00%,35.00%,15%,75%,10%,0.00%,0%,0%,16%,76%,0%,0%
臺北市信義區國業里,,1,2,4,13,20,75.00%,25.00%,5%,90%,5%,,0%,43%,30%,70%,0%,0%
臺北市信義區安康里,,3,1,7,9,20,75.00%,20.00%,20%,60%,20%,,79%,0%,59%,42%,0%,0%
臺北市信義區三犁里,1,,3,5,11,20,85.00%,15.00%,15%,75%,10%,0.00%,,73%,39%,55%,78%,0%
臺北市松山區吉仁里,1,1,,7,11,20,70.00%,30.00%,5%,85%,10%,0.00%,0%,,59%,55%,0%,0%
臺北市中正區南福里,,2,1,3,14,20,85.00%,15.00%,5%,90%,5%,,50%,0%,16%,76%,34%,0%
臺北市中正區林興里,,2,1,7,10,20,85.00%,15.00%,15%,70%,15%,,50%,0%,59%,49%,0%,0%
臺北市中正區永功里,1,1,2,8,8,20,80.00%,20.00%,0%,95%,5%,0.00%,0%,43%,70%,34%,0%,1%
臺北市中山區朱馥里,,,5,2,13,20,70.00%,30.00%,25%,75%,0%,,,94%,7%,70%,34%,1%
臺北市中山區正得里,,,,1,19,20,55.00%,45.00%,5%,45%,50%,,,,0%,93%,0%,0%
臺北市大安區黎元里,,3,1,9,7,20,85.00%,15.00%,10%,65%,25%,,79%,0%,76%,27%,54%,0%
臺北市大安區大學里,3,1,1,6,9,20,85.00%,15.00%,20%,75%,5%,87.00%,0%,0%,50%,42%,0%,0%
臺北市大同區老師里,,1,,8,11,20,80.00%,20.00%,10%,60%,30%,,0%,,70%,55%,54%,63%
臺北市士林區前港里,1,1,1,5,12,20,70.00%,30.00%,0%,95%,5%,0.00%,0%,0%,39%,64%,54%,0%
臺北市士林區忠誠里,1,4,1,5,9,20,60.00%,40.00%,15%,80%,5%,0.00%,91%,0%,39%,42%,34%,0%
臺北市信義區廣居里,,2,1,8,8,19,73.68%,26.32%,5%,84%,11%,,50%,0%,70%,34%,0%,0%
臺北市松山區新聚里,,,,4,15,19,63.16%,36.84%,5%,89%,5%,,,,30%,81%,0%,0%
臺北市北投區立農里,1,2,1,7,8,19,63.16%,36.84%,21%,68%,11%,0.00%,50%,0%,59%,34%,54%,0%
臺北市北投區永欣里,1,,1,6,11,19,84.21%,15.79%,0%,100%,0%,0.00%,,0%,50%,55%,34%,63%
臺北市內湖區寶湖里,,,2,4,13,19,52.63%,47.37%,16%,84%,0%,,,43%,30%,70%,54%,0%
臺北市中山區新福里,,1,2,7,9,19,73.68%,26.32%,5%,74%,21%,,0%,43%,59%,42%,0%,0%
臺北市大安區黎和里,,,,2,17,19,89.47%,10.53%,0%,79%,21%,,,,7%,88%,34%,63%
臺北市大安區群賢里,,2,,3,14,19,73.68%,26.32%,5%,89%,5%,,50%,,16%,76%,34%,1%
臺北市大同區保安里,,,2,9,8,19,89.47%,10.53%,11%,89%,0%,,,43%,76%,34%,54%,1%
臺北市士林區蘭雅里,,,2,1,16,19,68.42%,31.58%,5%,79%,16%,,,43%,0%,86%,0%,0%
臺北市士林區富洲里,1,,2,7,9,19,57.89%,42.11%,11%,79%,11%,0.00%,,43%,59%,42%,86%,0%
臺北市萬華區雙園里,2,,2,5,9,18,55.56%,38.89%,11%,78%,11%,70.00%,,43%,39%,42%,54%,63%
臺北市萬華區銘德里,2,1,2,5,8,18,66.67%,27.78%,0%,100%,0%,70.00%,0%,43%,39%,34%,34%,0%
臺北市萬華區富福里,,,2,5,11,18,83.33%,16.67%,11%,56%,33%,,,43%,39%,55%,0%,0%
臺北市萬華區富民里,1,,,5,12,18,61.11%,38.89%,0%,100%,0%,0.00%,,,39%,64%,0%,0%
臺北市萬華區柳鄉里,1,3,2,5,7,18,72.22%,27.78%,6%,72%,22%,0.00%,79%,43%,39%,27%,54%,63%
臺北市萬華區日祥里,,5,1,3,9,18,44.44%,50.00%,11%,89%,0%,,95%,0%,16%,42%,34%,1%
臺北市南港區新富里,1,2,2,3,10,18,72.22%,27.78%,6%,72%,22%,0.00%,50%,43%,16%,49%,0%,0%
臺北市南港區中研里,1,3,1,3,10,18,61.11%,27.78%,33%,50%,17%,0.00%,79%,0%,16%,49%,0%,1%
臺北市信義區惠安里,,,1,9,8,18,61.11%,38.89%,11%,72%,17%,,,0%,76%,34%,0%,0%
臺北市信義區五全里,,1,2,3,12,18,77.78%,22.22%,0%,94%,6%,,0%,43%,16%,64%,0%,0%
臺北市信義區大仁里,1,2,2,7,6,18,66.67%,33.33%,17%,67%,17%,0.00%,50%,43%,59%,20%,0%,0%
臺北市松山區三民里,1,1,,5,11,18,77.78%,22.22%,11%,61%,28%,0.00%,0%,,39%,55%,0%,0%
臺北市北投區林泉里,1,1,2,7,7,18,88.89%,5.56%,11%,72%,17%,0.00%,0%,43%,59%,27%,34%,0%
臺北市北投區中庸里,1,4,,1,12,18,94.44%,5.56%,11%,67%,22%,0.00%,91%,,0%,64%,71%,1%
臺北市北投區八仙里,1,3,5,4,5,18,77.78%,22.22%,0%,78%,22%,0.00%,79%,94%,30%,14%,34%,0%
臺北市文山區興業里,2,,,5,11,18,66.67%,33.33%,11%,67%,22%,70.00%,,,39%,55%,34%,0%
臺北市文山區興安里,2,1,,7,8,18,77.78%,22.22%,0%,89%,11%,70.00%,0%,,59%,34%,34%,1%
臺北市文山區景華里,2,2,1,6,7,18,77.78%,22.22%,0%,78%,22%,70.00%,50%,0%,50%,27%,86%,63%
臺北市文山區景東里,,1,1,8,8,18,72.22%,27.78%,6%,78%,17%,,0%,0%,70%,34%,0%,0%
臺北市內湖區週美里,,1,1,6,10,18,88.89%,11.11%,6%,78%,17%,,0%,0%,50%,49%,0%,0%
臺北市內湖區金湖里,,2,1,1,14,18,72.22%,22.22%,11%,67%,22%,,50%,0%,0%,76%,0%,0%
臺北市中正區螢圃里,1,1,1,6,9,18,77.78%,16.67%,0%,83%,17%,0.00%,0%,0%,50%,42%,54%,1%
臺北市中正區板溪里,,4,,6,8,18,83.33%,16.67%,11%,72%,17%,,91%,,50%,34%,0%,0%
臺北市中山區江寧里,,1,,7,10,18,72.22%,27.78%,17%,61%,22%,,0%,,59%,49%,0%,0%
臺北市中山區民安里,2,,2,6,8,18,83.33%,11.11%,0%,89%,11%,70.00%,,43%,50%,34%,0%,0%
臺北市中山區中庄里,1,1,3,4,9,18,55.56%,38.89%,11%,78%,11%,0.00%,0%,73%,30%,42%,0%,0%
臺北市大安區龍圖里,1,1,,7,9,18,61.11%,38.89%,22%,72%,6%,0.00%,0%,,59%,42%,0%,0%
臺北市大安區芳和里,1,1,1,6,9,18,61.11%,33.33%,11%,67%,22%,0.00%,0%,0%,50%,42%,0%,0%
臺北市大安區民輝里,,1,1,2,14,18,72.22%,27.78%,17%,61%,22%,,0%,0%,7%,76%,34%,0%
臺北市大安區民炤里,,2,3,2,11,18,77.78%,22.22%,11%,50%,39%,,50%,73%,7%,55%,0%,0%
臺北市大同區國順里,2,1,3,7,5,18,77.78%,22.22%,6%,67%,28%,70.00%,0%,73%,59%,14%,95%,93%
臺北市士林區福志里,,1,,6,11,18,66.67%,27.78%,17%,72%,11%,,0%,,50%,55%,0%,0%
臺北市萬華區新起里,,,1,3,13,17,64.71%,35.29%,6%,65%,29%,,,0%,16%,70%,0%,0%
臺北市南港區仁福里,,2,2,3,10,17,70.59%,29.41%,6%,82%,12%,,50%,43%,16%,49%,54%,1%
臺北市信義區景勤里,,2,1,8,6,17,88.24%,11.76%,12%,71%,18%,,50%,0%,70%,20%,78%,0%
臺北市信義區富台里,,1,4,6,6,17,52.94%,47.06%,18%,71%,12%,,0%,89%,50%,20%,0%,0%
臺北市信義區正和里,,3,,3,11,17,88.24%,11.76%,29%,65%,6%,,79%,,16%,55%,0%,0%
臺北市信義區五常里,,1,2,3,11,17,64.71%,35.29%,18%,82%,0%,,0%,43%,16%,55%,0%,0%
臺北市松山區介壽里,1,,,2,14,17,82.35%,17.65%,12%,76%,12%,0.00%,,,7%,76%,0%,0%
臺北市文山區樟樹里,,1,2,4,10,17,52.94%,47.06%,29%,59%,12%,,0%,43%,30%,49%,71%,1%
臺北市內湖區瑞光里,,1,2,1,13,17,76.47%,23.53%,24%,53%,24%,,0%,43%,0%,70%,34%,0%
臺北市中正區文北里,1,1,3,3,9,17,70.59%,29.41%,0%,71%,29%,0.00%,0%,73%,16%,42%,0%,0%
臺北市中山區聚盛里,,,1,3,13,17,100.00%,0.00%,6%,94%,0%,,,0%,16%,70%,71%,63%
臺北市中山區新喜里,1,2,3,6,5,17,70.59%,29.41%,18%,59%,24%,0.00%,50%,73%,50%,14%,0%,0%
臺北市中山區行孝里,1,,3,6,7,17,52.94%,47.06%,18%,76%,6%,0.00%,,73%,50%,27%,0%,0%
臺北市大安區龍淵里,,1,1,6,9,17,70.59%,29.41%,12%,76%,12%,,0%,0%,50%,42%,0%,0%
臺北市大安區誠安里,,,2,3,12,17,88.24%,11.76%,12%,71%,18%,,,43%,16%,64%,34%,0%
臺北市大安區新龍里,,4,1,2,10,17,70.59%,29.41%,6%,94%,0%,,91%,0%,7%,49%,0%,0%
臺北市大安區和安里,,2,3,1,11,17,64.71%,35.29%,12%,76%,12%,,50%,73%,0%,55%,0%,0%
臺北市大安區全安里,,,1,3,13,17,70.59%,29.41%,18%,71%,12%,,,0%,16%,70%,0%,0%
臺北市大同區朝陽里,,1,2,6,8,17,64.71%,35.29%,12%,71%,18%,,0%,43%,50%,34%,0%,1%
臺北市信義區黎忠里,1,1,,5,9,16,68.75%,31.25%,25%,69%,6%,0.00%,0%,,39%,42%,78%,1%
臺北市信義區中坡里,,,3,6,7,16,62.50%,31.25%,0%,94%,6%,,,73%,50%,27%,54%,1%
臺北市松山區新益里,1,1,1,7,6,16,68.75%,25.00%,13%,81%,6%,0.00%,0%,0%,59%,20%,71%,93%
臺北市松山區復勢里,1,3,2,2,8,16,56.25%,43.75%,19%,75%,6%,0.00%,79%,43%,7%,34%,0%,0%
臺北市文山區忠順里,,3,,2,11,16,75.00%,25.00%,6%,88%,6%,,79%,,7%,55%,0%,1%
臺北市內湖區港都里,,1,,5,10,16,62.50%,37.50%,13%,75%,13%,,0%,,39%,49%,54%,0%
臺北市中正區文祥里,2,,3,3,8,16,87.50%,12.50%,6%,88%,6%,70.00%,,73%,16%,34%,34%,1%
臺北市中山區江山里,,1,,9,6,16,56.25%,43.75%,25%,75%,0%,,0%,,76%,20%,0%,0%
臺北市中山區成功里,,,1,7,8,16,68.75%,31.25%,0%,75%,25%,,,0%,59%,34%,0%,0%
臺北市中山區中央里,1,,,5,10,16,87.50%,12.50%,13%,56%,31%,0.00%,,,39%,49%,0%,0%
臺北市大安區義村里,1,,,5,10,16,56.25%,37.50%,13%,75%,13%,0.00%,,,39%,49%,0%,0%
臺北市大安區法治里,1,,4,3,8,16,68.75%,31.25%,6%,81%,13%,0.00%,,89%,16%,34%,71%,0%
臺北市大安區住安里,1,,,3,12,16,75.00%,25.00%,0%,56%,44%,0.00%,,,16%,64%,54%,81%
臺北市大同區建功里,1,1,2,5,7,16,50.00%,50.00%,25%,69%,6%,0.00%,0%,43%,39%,27%,54%,1%
臺北市士林區德華里,1,1,1,5,8,16,93.75%,6.25%,0%,100%,0%,0.00%,0%,0%,39%,34%,34%,0%
臺北市士林區德行里,,,2,5,9,16,62.50%,37.50%,13%,81%,6%,,,43%,39%,42%,78%,0%
臺北市士林區天壽里,,,3,5,8,16,75.00%,25.00%,25%,75%,0%,,,73%,39%,34%,0%,1%
臺北市萬華區凌霄里,2,1,1,6,5,15,66.67%,33.33%,7%,53%,40%,70.00%,0%,0%,50%,14%,71%,0%
臺北市信義區松隆里,,,2,7,6,15,66.67%,33.33%,20%,73%,7%,,,43%,59%,20%,0%,0%
臺北市松山區敦化里,1,2,,6,6,15,60.00%,40.00%,7%,73%,20%,0.00%,50%,,50%,20%,0%,0%
